公司,簡稱,年/月,每股盈餘,流動比率,營業利益率,每股淨值(B)
3008,大立光,202412,194.17,4.766949791085613,0.4041964357329001,1375.0
3533,嘉澤,202412,82.77,3.198159555727817,0.34047734134795876,319.63
4763,材料*-KY,202412,84.36,3.6681964846929787,0.5712424327760038,164.0
